dietary exposure,% confounders with ASMD<0.1,% direct confounders with ASMD<0.05,% structural confounders with ASMD<0.05,% negative targets significant,max ASMD (confounders),mean ASMD (confounders)
caffeine_late_mg,100.0,100.0,100.0,0.0,0.0376540763887073,0.020031164820036022
Last-meal–to-bedtime interval (h),100.0,100.0,100.0,0.0,0.0445086205975126,0.02095300373377803
Animal-based foods (% of daily energy),100.0,100.0,100.0,0.0,0.0452150266837773,0.026619820231595207
Zinc (mg),100.0,100.0,100.0,0.0,0.0453951793047581,0.02212365415066393
Meat and poultry (% of daily energy),100.0,100.0,100.0,0.0,0.0457688806808743,0.01563751303953515
Processed foods (% of daily energy),100.0,100.0,100.0,0.0,0.0458050551173046,0.016463576970735666
Dairy (% of daily energy),100.0,100.0,100.0,0.0,0.0462580084049747,0.02464093665407748
Vitamin D (mcg),100.0,100.0,100.0,0.0,0.0464145237637605,0.017297841855628614
Dinner energy (%),100.0,100.0,100.0,0.0,0.0464820261244949,0.016696746358357394
Vitamin E (mg),100.0,100.0,100.0,0.0,0.0473541165059983,0.022816399575952016
Protein (% of daily energy),100.0,100.0,100.0,0.0,0.047953164714542,0.021908625740290462
Saturated Fat (g),100.0,100.0,100.0,0.0,0.0488348115661569,0.012959385843820658
Carbs (% of daily energy),100.0,100.0,100.0,0.0,0.0493534393604508,0.030315047418292728
Whole foods (% of daily energy),100.0,100.0,100.0,0.0,0.0547960084639226,0.023664245579523683
Eating window duration (h),100.0,100.0,100.0,0.0,0.0659928821914703,0.02574691365292407
Omega-3 (g),100.0,100.0,100.0,0.0,0.0760739547612324,0.022215922331973195
Calcium (mg),100.0,100.0,100.0,0.0,0.0879851293526588,0.01915811229685304
Vitamin b12 (ug),100.0,88.88888888888889,100.0,0.0,0.0504029685093786,0.025950034227684434
Fat (% of daily energy),100.0,88.88888888888889,100.0,0.0,0.0506091311211941,0.013178560765952944
Vitamin C (mg),100.0,88.88888888888889,100.0,0.0,0.0534642098762873,0.025452969853651523
Folic Acid (mcg),100.0,88.88888888888889,100.0,0.0,0.0588158144606807,0.03026697327630368
Vitamin b6 (mg),100.0,88.88888888888889,100.0,0.0,0.0614857906575412,0.027144928770465458
Plant-based foods (% of daily energy),100.0,88.88888888888889,100.0,0.0,0.0632693517258187,0.023505844346630996
Fruits and vegetables (% of daily energy),100.0,88.88888888888889,100.0,0.0,0.0666231775335717,0.028883074691510306
Plant-based food diversity (count),100.0,88.88888888888889,100.0,0.0,0.0722636730278833,0.026143021977418534
Magnesium (mg),100.0,88.88888888888889,100.0,0.0,0.0799302393021643,0.03134090747746292
"Dietary fiber density (g/1,000 kcal)",100.0,88.88888888888889,100.0,0.0,0.0920555005655079,0.030168177347825804
