exposure,exposure_baseline,n_pairs,n_treated_matched,n_controls_matched,unique_controls_used,controls_reused,mean_abs_SMD_post,median_abs_SMD_post,p75_abs_SMD_post,max_abs_SMD_post,median_abs_SMD_post_OK,asmd_fail_count,asmd_fail_features,caliper,replace,smd_threshold,seed,match_covariates
hours_to_sleep_target_day,hours_to_sleep,328,328,328,328,False,0.072,,0.131,0.154,False,5,age; heart_rate_mean_during_sleep; percent_of_rem_sleep_time; total_energy_kcal; percent_of_light_sleep_time,0.15,False,0.1,0,gender; bmi
eating_window_h_target_day,eating_window_h,303,303,303,303,False,0.051,,0.075,0.125,False,1,total_energy_kcal,0.15,False,0.1,0,gender; bmi
night_calories_pct_target_day,night_calories_pct,329,329,329,329,False,0.076,,0.11,0.145,False,6,total_energy_kcal; total_sleep_time_minutes; percent_of_light_sleep_time; sleep_hour; percent_of_deep_sleep_time; number_of_wakes,0.15,False,0.1,0,gender; bmi
plant_based_whole_foods_ratio_target_day,plant_based_whole_foods_ratio,267,267,267,267,False,0.058,,0.101,0.121,False,4,sleep_hour; total_energy_kcal; percent_of_rem_sleep_time; age,0.15,False,0.1,0,gender; bmi
furits_and_veggies_energy_ratio_target_day,furits_and_veggies_energy_ratio,298,298,298,298,False,0.03,,0.044,0.08,False,0,,0.15,False,0.1,0,gender; bmi
whole_food_categories_ratio_target_day,whole_food_categories_ratio,294,294,294,294,False,0.068,,0.088,0.182,False,2,heart_rate_mean_during_sleep; total_energy_kcal,0.15,False,0.1,0,gender; bmi
whole_dairy_categories_ratio_target_day,whole_dairy_categories_ratio,310,310,310,310,False,0.058,,0.086,0.124,False,3,percent_of_rem_sleep_time; total_sleep_time_minutes; total_wake_time_after_sleep_onset_minutes,0.15,False,0.1,0,gender; bmi
meat_and_poultry_energy_ratio_target_day,meat_and_poultry_energy_ratio,418,418,418,418,False,0.039,,0.037,0.167,False,1,sleep_latency_minutes,0.15,False,0.1,0,gender; bmi
processed_categories_ratio_target_day,processed_categories_ratio,322,322,322,322,False,0.066,,0.099,0.189,False,4,percent_of_light_sleep_time; percent_of_rem_sleep_time; percent_of_deep_sleep_time; total_energy_kcal,0.15,False,0.1,0,gender; bmi
animal_based_whole_foods_ratio_target_day,animal_based_whole_foods_ratio,290,290,290,290,False,0.079,,0.116,0.184,False,6,sleep_efficiency; sleep_latency_minutes; total_sleep_time_minutes; number_of_wakes; age; total_wake_time_after_sleep_onset_minutes,0.15,False,0.1,0,gender; bmi
fiber_density_energy_target_day,fiber_density_energy,282,282,282,282,False,0.072,,0.091,0.149,False,3,percent_of_deep_sleep_time; sleep_efficiency; total_wake_time_after_sleep_onset_minutes,0.15,False,0.1,0,gender; bmi
unique_plant_based_foods_count_target_day,unique_plant_based_foods_count,293,293,293,293,False,0.055,,0.083,0.106,False,1,percent_of_rem_sleep_time,0.15,False,0.1,0,gender; bmi
